Filename,Result,Wall_Time
2024/sosylab/product-lines/minepump_spec3_product45.cil.btor2,unsat,0.119011
2024/sosylab/eca-rers2018/Problem17.btor2,unknown,0
2024/sosylab/product-lines/minepump_spec2_product54.cil.btor2,unsat,35.8136
2024/sosylab/product-lines/minepump_spec1_product14.cil.btor2,unsat,16.0628
2024/sosylab/product-lines/minepump_spec2_product07.cil.btor2,unsat,9.57564
2024/sosylab/product-lines/minepump_spec4_product16.cil.btor2,unsat,9.16829
2024/sosylab/systemc/token_ring.03.cil-2.btor2,memout,0
2024/hku/x-epic/a10-p34.btor2,unknown,0
2024/sosylab/psyco/psyco_io_1.btor2,unsat,22.316
2024/sosylab/product-lines/elevator_spec1_product19.cil.btor2,memout,0
2024/sosylab/bitvector/byte_add_1-1.btor2,unknown,0
2024/sosylab/loop-acceleration/phases_2-1.btor2,sat,1.02666
2024/sosylab/loops/trex02-1.btor2,unsat,0.0038044
2024/sosylab/loop-zilu/benchmark04_conjunctive.btor2,unknown,0
2024/sosylab/loop-simple/deep-nested.btor2,unknown,0
2024/sosylab/floats-esbmc-regression/digits_bad_for.btor2,unknown,0
2024/sosylab/float-newlib/float_req_bl_1092a.btor2,unsat,0.0104571
2024/sosylab/float-newlib/float_req_bl_1071.btor2,unsat,0.007429
2024/sosylab/seq-mthreaded/pals_lcr-var-start-time.6.1.ufo.UNBOUNDED.pals.btor2,memout,0
2024/sosylab/loop-industry-pattern/mod3.c.v+sep-reducer.btor2,unknown,0
2024/sosylab/nla-digbench-scaling/freire1_valuebound1.btor2,unsat,844.317
2024/sosylab/loop-floats-scientific-comp/loop3.btor2,unknown,0
2024/sosylab/eca-programs/Problem101_label01.btor2,unknown,0
2024/sosylab/loop-lit/jm2006.c.i.v+cfa-reducer.btor2,memout,0
2024/sosylab/seq-mthreaded/pals_opt-floodmax.4.3.ufo.UNBOUNDED.pals.btor2,memout,0
2024/sosylab/seq-mthreaded/pals_lcr-var-start-time.5.1.ufo.UNBOUNDED.pals.btor2,unknown,0
2024/sosylab/nla-digbench-scaling/lcm1_valuebound100.btor2,unknown,0
2024/sosylab/nla-digbench-scaling/egcd-ll_unwindbound10.btor2,memout,0
2024/sosylab/nla-digbench-scaling/lcm2_unwindbound50.btor2,unknown,0
