index,benchmark,outer_selects,outer_updates,fallback_selects,fallback_updates,fallback_arms,fallback_limits,reward_sum,nonzero_reward_updates,mab_lines
58,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p421.btor2,0,0,0,0,,,0,0,
59,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p43.btor2,0,0,0,0,,,0,0,
60,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p458.btor2,0,0,0,0,,,0,0,
61,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p485.btor2,0,0,0,0,,,0,0,
62,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p493.btor2,0,0,0,0,,,0,0,
63,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p496.btor2,0,0,0,0,,,0,0,
64,benchmarks/wordlevel/array/2020/mann/array_lt200.btor2,1,1,0,0,,,0.5,1,CEGP-BANDIT select round=0 mode=full_add consecutive=4 targets=0 | CEGP-BANDIT update round=1 mode=full_add reward=0.5 compactness=0.0 push=1/1 frontier=1 block_distance=0.0 queries=13 aux_statevars=3 result=1
65,benchmarks/wordlevel/array/2020/mann/array_swap.btor2,0,0,0,0,,,0,0,
66,benchmarks/wordlevel/array/2020/mann/deep_overflow_bug.btor2,0,0,0,0,,,0,0,
67,benchmarks/wordlevel/array/2020/mann/easy_zero_array.btor2,0,0,0,0,,,0,0,
68,benchmarks/wordlevel/array/2020/mann/simple-stack-pred1.btor2,0,0,0,0,,,0,0,
69,benchmarks/wordlevel/array/2020/mann/zero_array.btor2,0,0,0,0,,,0,0,
70,benchmarks/wordlevel/array/2024/hkust/branch_coverage/array/rocket_1939.btor2,0,0,0,0,,,0,0,
71,benchmarks/wordlevel/array/2024/hkust/branch_coverage/array/rocket_2021.btor2,0,0,0,0,,,0,0,
72,benchmarks/wordlevel/array/2024/hkust/branch_coverage/array/rocket_2029.btor2,0,0,0,0,,,0,0,
73,benchmarks/wordlevel/array/2024/hkust/branch_coverage/array/rocket_2045.btor2,0,0,0,0,,,0,0,
74,benchmarks/wordlevel/array/2024/hkust/branch_coverage/array/rocket_2047.btor2,0,0,0,0,,,0,0,
75,benchmarks/wordlevel/array/2024/hkust/branch_coverage/array/rocket_2053.btor2,0,0,0,0,,,0,0,
76,benchmarks/wordlevel/array/2024/hkust/branch_coverage/array/rocket_2067.btor2,0,0,0,0,,,0,0,
77,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_ADDI_problem.btor2,0,0,0,0,,,0,0,
78,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_AND_problem.btor2,0,0,0,0,,,0,0,
79,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_AUIPC_problem.btor2,0,0,0,0,,,0,0,
80,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_BEQ_sanity.btor2,0,0,0,0,,,0,0,
81,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_BGEU_problem.btor2,0,0,0,0,,,0,0,
82,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_BLT_problem.btor2,0,0,0,0,,,0,0,
83,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_LHU_sanity.btor2,0,0,0,0,,,0,0,
84,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_OR_sanity.btor2,0,0,0,0,,,0,0,
85,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_SB_problem.btor2,0,0,0,0,,,0,0,
86,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_SH_problem.btor2,0,0,0,0,,,0,0,
87,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_SH_sanity.btor2,0,0,0,0,,,0,0,
88,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_SLLI_sanity.btor2,0,0,0,0,,,0,0,
89,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_SLTI_problem.btor2,0,0,0,0,,,0,0,
90,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_SLTI_sanity.btor2,0,0,0,0,,,0,0,
91,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_SRAI_problem.btor2,0,0,0,0,,,0,0,
92,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_SUB_problem.btor2,0,0,0,0,,,0,0,
93,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_SW_sanity.btor2,0,0,0,0,,,0,0,
94,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_XORI_problem.btor2,0,0,0,0,,,0,0,
95,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Piccolo_ADD_sanity.btor2,0,0,0,0,,,0,0,
96,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Piccolo_BNE_sanity.btor2,0,0,0,0,,,0,0,
97,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Piccolo_JALR_problem.btor2,0,0,0,0,,,0,0,
