index,benchmark,baseline_result,baseline_solved,baseline_timed_out,baseline_wall_seconds,baseline_par2,old_final_result,old_final_solved,old_final_timed_out,old_final_wall_seconds,old_final_par2,new_mab_result,new_mab_solved,new_mab_timed_out,new_mab_wall_seconds,new_mab_par2,new_vs_baseline_par2_delta,new_vs_old_final_par2_delta,visible_packet_selections,visible_packet_updates,visible_censored
72,benchmarks/wordlevel/array/2024/hkust/branch_coverage/array/rocket_2029.btor2,missing,False,True,1000.1820234945044,2000.0,missing,False,True,1000.1247909078375,2000.0,missing,False,True,1000.1707580909133,2000.0,0.0,0.0,,,0
73,benchmarks/wordlevel/array/2024/hkust/branch_coverage/array/rocket_2045.btor2,missing,False,True,1000.1646478204057,2000.0,missing,False,True,1000.1481770733371,2000.0,missing,False,True,1000.1928590200841,2000.0,0.0,0.0,,,0
74,benchmarks/wordlevel/array/2024/hkust/branch_coverage/array/rocket_2047.btor2,missing,False,True,1000.1667965678498,2000.0,missing,False,True,1000.1364618083462,2000.0,missing,False,True,1000.1222667144611,2000.0,0.0,0.0,,,0
75,benchmarks/wordlevel/array/2024/hkust/branch_coverage/array/rocket_2053.btor2,missing,False,True,1000.1741824755445,2000.0,missing,False,True,1000.1553273769096,2000.0,missing,False,True,1000.1817385535687,2000.0,0.0,0.0,,,0
76,benchmarks/wordlevel/array/2024/hkust/branch_coverage/array/rocket_2067.btor2,missing,False,True,1000.2722778618336,2000.0,missing,False,True,1000.1352044017985,2000.0,missing,False,True,1000.1902059298009,2000.0,0.0,0.0,,,0
77,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_ADDI_problem.btor2,missing,False,True,1000.3708496829495,2000.0,missing,False,True,1000.1287209000438,2000.0,missing,False,True,1000.1912573967129,2000.0,0.0,0.0,,,0
78,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_AND_problem.btor2,missing,False,True,1000.3795245084912,2000.0,missing,False,True,1000.1756612816826,2000.0,missing,False,True,1000.1958304932341,2000.0,0.0,0.0,,,0
79,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_AUIPC_problem.btor2,missing,False,True,1000.3961923290044,2000.0,missing,False,True,1000.1692974492908,2000.0,missing,False,True,1000.1584484986961,2000.0,0.0,0.0,,,0
80,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_BEQ_sanity.btor2,missing,False,True,1000.3854268183932,2000.0,missing,False,True,1000.1445085564628,2000.0,missing,False,True,1000.1698214635253,2000.0,0.0,0.0,,,0
81,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_BGEU_problem.btor2,missing,False,True,1000.3758260384202,2000.0,missing,False,True,1000.1630374165252,2000.0,missing,False,True,1000.1992348153144,2000.0,0.0,0.0,,,0
82,benchmarks/wordlevel/array/2024/hkust/refinement_checking/array/ILA_Flute_BLT_problem.btor2,missing,False,True,1000.3555194083601,2000.0,missing,False,True,1000.157621609047,2000.0,missing,False,True,1000.2039202917367,2000.0,0.0,0.0,,,0
